School_Name,School_Type,School_Status,Address_Town,Address_Postcode,Region,Area,LGA_Name,LGA_TYPE,X,Y
Ballarat Clarendon College,Pri/Sec,O,BALLARAT,3350,SOUTH-WESTERN VICTORIA,Central Highlands,Ballarat (C),Non Metro,143.8336504,-37.55964761
MacRobertson Girls High School,Secondary,O,Melbourne,3004,SOUTH-EASTERN VICTORIA,Bayside Peninsula,Port Phillip (C),Metro,144.971862,-37.835886
Bacchus Marsh Grammar,Pri/Sec,O,BACCHUS MARSH,3340,SOUTH-WESTERN VICTORIA,Central Highlands,Moorabool (S),Non Metro,144.4315941,-37.69026649
Nossal High School,Secondary,O,Berwick,3806,SOUTH-EASTERN VICTORIA,Southern Melbourne,Casey (C),Metro,145.336563,-38.038502
Haileybury College (Girls),Pri/Sec,O,KEYSBOROUGH,3173,SOUTH-EASTERN VICTORIA,Southern Melbourne,Greater Dandenong (C),Metro,145.14643,-37.995979
Ruyton Girls' School,Pri/Sec,O,KEW,3101,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Boroondara (C),Metro,145.039181,-37.811111
Melbourne Girls Grammar,Pri/Sec,O,SOUTH YARRA,3141,SOUTH-WESTERN VICTORIA,Western Melbourne,Melbourne (C),Metro,144.984803,-37.831692
Melbourne High School,Secondary,O,South Yarra,3141,SOUTH-EASTERN VICTORIA,Bayside Peninsula,Stonnington (C),Metro,144.995314,-37.836829
Melbourne Grammar School,Pri/Sec,O,MELBOURNE,3004,SOUTH-WESTERN VICTORIA,Western Melbourne,Melbourne (C),Metro,144.9770931,-37.83359283
Huntingtower School,Pri/Sec,O,MT WAVERLEY,3149,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Monash (C),Metro,145.136288,-37.876741
Camberwell Girls Grammar School,Pri/Sec,O,CANTERBURY,3126,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Boroondara (C),Metro,145.059705,-37.818211
Haileybury College,Pri/Sec,O,KEYSBOROUGH,3173,SOUTH-EASTERN VICTORIA,Southern Melbourne,Greater Dandenong (C),Metro,145.14643,-37.995979
Fintona Girls' School,Pri/Sec,O,BALWYN,3103,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Boroondara (C),Metro,145.080326,-37.815158
Mount Scopus Memorial College,Pri/Sec,O,BURWOOD,3125,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Whitehorse (C),Metro,145.117774,-37.847216
Suzanne Cory High School,Secondary,O,Werribee,3030,SOUTH-WESTERN VICTORIA,Western Melbourne,Wyndham (C),Metro,144.700748,-37.893852
Bialik College,Pri/Sec,O,HAWTHORN,3122,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Boroondara (C),Metro,145.043371,-37.842269
Loreto Mandeville Hall,Pri/Sec,O,TOORAK,3142,SOUTH-EASTERN VICTORIA,Bayside Peninsula,Stonnington (C),Metro,145.014892,-37.848193
Korowa Anglican Girls' School,Pri/Sec,O,GLEN IRIS,3146,SOUTH-EASTERN VICTORIA,Bayside Peninsula,Stonnington (C),Metro,145.054637,-37.861454
Leibler Yavneh College,Pri/Sec,O,ELSTERNWICK,3185,SOUTH-EASTERN VICTORIA,Bayside Peninsula,Glen Eira (C),Metro,145.006626,-37.892871
Presbyterian Ladies' College,Pri/Sec,O,BURWOOD,3125,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Whitehorse (C),Metro,145.107002,-37.848559
Yarra Valley Grammar,Pri/Sec,O,RINGWOOD,3134,NORTH-EASTERN VICTORIA,Outer Eastern Melbourne,Maroondah (C),Metro,145.258164,-37.783701
St Kevin's College,Pri/Sec,O,TOORAK,3142,SOUTH-EASTERN VICTORIA,Bayside Peninsula,Stonnington (C),Metro,145.0246967,-37.8353971
Methodist Ladies' College,Pri/Sec,O,KEW,3101,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Boroondara (C),Metro,145.038491,-37.813951
Firbank Grammar School,Pri/Sec,O,BRIGHTON,3186,SOUTH-EASTERN VICTORIA,Bayside Peninsula,Bayside (C),Metro,144.996936,-37.906118
Lauriston Girls' School,Pri/Sec,O,ARMADALE,3143,SOUTH-EASTERN VICTORIA,Bayside Peninsula,Stonnington (C),Metro,145.025089,-37.852317
