rank2025,School,Percent40Plus2024,Percent40Plus2025,rank2024,Type,cohort,selective,gender,HighestATAR
1,Ballarat Clarendon College,34.7,35,1,Independent,296,no,Mixed,99.90
2,MacRobertson Girls High School,31.1,34.7,3,Government,571,yes,Female,99.95
3,Bacchus Marsh Grammar,13.9,33.3,66,Government,55,yes,Mixed,99.90
4,Nossal High School,27.6,32.4,12,Government,410,yes,Mixed,99.90
5,Haileybury College (Girls),29.9,31.2,7,Independent,420,no,Female,99.95
6,Ruyton Girls' School,30.2,30.9,6,Independent,163,no,Female,97.90
7,Melbourne Girls Grammar,28.7,30.4,9,Independent,236,no,Female,99.95
8,Melbourne High School,28.5,29.9,10,Government,722,yes,Male,99.95
9,Melbourne Grammar School,28,29.3,11,Independent,377,yes,Male,99.95
10,Huntingtower School,31.7,27.7,2,Independent,187,no,Mixed,99.80
11,Camberwell Girls Grammar School,25.2,27.5,19,Independent,191,no,Female,99.95
12,Fintona Girls School,26.4,26.8,13,Independent,109,no,Female,99.70
13,Haileybury College,26.3,26.5,15,Independent,577,no,Mixed,99.95
14,Mount Scopus Memorial College,30.8,25.5,4,Independent,237,no,Mixed,99.70
15,Suzanne Cory High School,19,25,44,Government,432,yes,Mixed,99.65
16,Bialik College,29.7,24.8,8,Independent,174,no,Mixed,99.90
17,Loreto Mandevile Hall,26.4,24.7,14,Catholic,264,no,Female,99.25
18,Korowa Anglican Girls' School,21.2,24.5,33,Independent,183,no,Female,99.65
19,Leibler Yevneh College,23.6,24.1,23,Independent,103,no,Mixed,99.60
20,Presbyterian Ladies' College,25.9,24.1,17,Independent,297,no,Female,99.95
21,Yarra Valley Grammar School,21,23.8,35,Independent,364,no,Mixed,99.85
22,St Kevin's College,23.7,23.6,22,Catholic,392,no,Male,99.95
23,Methodist Ladies College,22.5,23.2,27,Independent,438,no,Female,99.90
24,Firbank Grammar School,19.2,23,34,Independent,232,no,Mixed,99.85
25,Lauriston Girl's School,20.3,22.9,38,Independent,150,no,Female,99.65
